Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	15.258285	22.77769	165.59889	6.1045213	9.915847	0.74374896	10.539809	7.745866	200.0	200.0	9999	11.662219	6.13496	50.21678	0.03797271	11.662193	6.1347756	49.78882	-0.13169664	-2.7282686	0.27314013	6.881011	-8.5857935	-12.194525	0.03357322	116.10811972618103
2	9.69765	4.564618	33.802895	4.89708	11.992762	1.7708352	13.323906	8.014919	200.0	200.0	19999	29.644524	12.899331	517.06604	15.996596	29.64453	12.899199	518.78357	15.849464	-2.7053483	0.4237741	27.687475	-8.747749	-30.128592	0.3678669	254.7666141986847
3	8.450669	9.368118	59.70317	1.9776498	3.0381088	0.1813773	3.1560183	2.5918183	200.0	200.0	29999	56.537052	112.70134	7793.245	1.9755944	56.52842	112.68569	7822.238	3.2266963	2.390531	6.0343738	121.568405	-12.035889	-58.339725	366.3972	387.83280658721924
4	5.3421545	2.2091057	11.711118	2.421401	5.7445464	1.9425254	7.736136	2.6379375	200.0	200.0	39999	211.26106	430.35138	15283.762	-173.83298	211.27036	430.23764	15345.592	-116.811356	7.1718483	5.736148	80.32862	-13.221531	-217.49977	731.40857	526.492237329483
5	2.782912	0.9054063	6.166	2.0122147	3.0348537	0.9327171	5.327366	2.3189597	200.0	200.0	49999	711.7817	687.1319	15410.876	-381.11246	711.77423	686.9868	15569.15	-239.07036	10.065269	5.526056	76.34525	-13.221781	-723.0573	1717.7104	665.0790324211121
6	6.5927577	5.29841	25.95657	1.7250358	1.635582	0.18897448	2.0880961	1.4631736	200.0	200.0	59999	787.34625	755.80164	23479.453	-656.48566	787.3749	755.77124	23877.633	-516.00946	7.1810303	5.2516704	86.59631	-11.093228	-792.054	6232.629	799.5362730026245
7	10.437111	8.436611	40.73948	1.6100769	29.432926	54.407196	192.49245	9.0576515	200.0	200.0	69999	1140.9528	1414.3353	28519.47	-512.87396	1141.0227	1414.5093	28582.736	-410.66824	14.413776	9.547641	133.40141	-10.346952	-1166.2377	93359.945	938.3476369380951
8	9.229893	4.576175	27.012796	5.028047	6.8677583	2.3143508	9.482825	4.3597593	200.0	200.0	79999	2001.8125	1751.4388	27827.674	-93.68334	2002.1049	1751.3003	27974.389	12.191626	15.898706	8.710375	158.00616	-8.677769	-2037.9333	83532.49	1077.6990592479706
9	11.719392	9.928652	53.201035	1.7956936	52.228737	95.97482	336.85706	9.126405	200.0	200.0	89999	2593.0503	1787.1221	23577.752	619.538	2593.1714	1787.0397	23671.547	488.00604	14.873404	8.176702	117.73072	-8.423306	-2623.1365	44738.246	1222.901848077774
10	20.32767	17.932447	123.6537	2.5941215	14.667139	2.3415952	19.3099	10.959407	200.0	200.0	99999	3258.0635	2064.8103	25400.738	645.0055	3258.143	2064.6917	24034.69	567.0088	16.064646	7.990766	118.63595	-8.9177	-3296.6956	48902.92	1362.9207835197449
11	16.53604	7.7014565	42.058697	8.137147	26.749378	17.650917	55.48064	10.642363	200.0	200.0	109999	3704.8718	1735.4851	17646.268	68.21492	3704.8867	1735.6625	17677.23	158.28635	15.600325	7.872482	123.5495	-7.6302233	-3738.63	34843.84	1503.7907574176788
12	15.162314	8.4663925	46.47937	4.7283745	10.163003	0.36349747	10.65774	9.508471	200.0	200.0	119999	3322.8923	1223.6399	14311.909	911.24756	3322.9421	1223.6182	14308.713	953.68756	13.721622	7.5226	97.56369	-10.969827	-3342.5767	16915.455	1642.962961435318
13	14.961627	16.30303	88.938515	6.1184497	20.25834	16.846819	52.938633	5.656022	200.0	200.0	129999	2661.543	803.3765	10061.523	313.30432	2661.579	803.3641	10218.218	385.5462	11.129932	6.1229267	87.30861	-11.375267	-2673.828	6982.534	1783.5513637065887
14	18.997478	13.176071	71.77377	7.4170976	19.269308	9.060441	40.91956	10.416038	200.0	200.0	139999	2076.1433	627.3028	8430.643	-522.1202	2076.1973	627.17834	8310.171	-417.5943	9.864793	5.661562	74.950645	-12.467914	-2084.1501	3832.8943	1920.263231754303
15	14.526584	7.547082	51.189716	3.7202458	11.720061	4.121477	22.61133	6.8268266	200.0	200.0	149999	1608.4501	577.56323	7046.208	-1002.6541	1608.5032	577.4573	7092.0415	-969.1846	8.933089	5.2210226	81.05967	-10.815315	-1614.2552	2559.5957	2055.926724910736
16	21.943394	26.268812	142.34106	4.7607417	21.250874	20.11731	57.001278	3.5847785	200.0	200.0	159999	1167.9978	466.1268	6099.188	-1018.5172	1168.0151	466.06705	6113.33	-1020.12976	6.527776	4.4106693	65.27837	-10.485856	-1170.2676	1373.3802	2188.1898164749146
17	31.725925	78.607864	455.2827	4.5010695	7.8394403	2.6039753	10.571618	4.102692	200.0	200.0	169999	797.13995	366.29535	4608.8867	-1307.1682	797.1474	366.2625	4771.347	-1291.2542	4.905934	3.9208212	60.588264	-15.01418	-798.2133	831.9888	2326.913729906082
18	23.616915	37.58415	209.08368	3.733873	49.605007	117.65613	402.56763	9.857328	200.0	200.0	179999	524.0308	293.91516	3437.4043	-1369.674	524.0317	293.90543	3553.9998	-1371.4222	3.462374	3.5241404	42.671375	-12.923555	-524.3933	466.9209	2467.7164845466614
19	12.738315	8.103971	55.055115	3.4588215	8.33017	1.947626	10.0725355	5.290431	200.0	200.0	189999	323.8532	239.24748	3136.797	-1303.1289	323.85004	239.26137	3100.3323	-1319.6776	2.105268	3.4331138	54.07333	-12.061338	-323.51425	303.63187	2606.7335765361786
20	12.399731	22.17134	165.08502	3.0870209	13.3763075	8.676438	33.62728	2.965863	200.0	200.0	199999	206.86893	207.591	3822.4634	-1257.9181	206.86269	207.59258	3829.7454	-1254.0646	2.044078	3.7442992	57.597324	-14.104811	-206.89243	354.712	2746.51393699646
21	26.945505	67.60567	364.8228	3.1647036	22.50885	20.586983	59.68434	3.2107506	200.0	200.0	209999	151.90508	196.98447	3671.687	-1167.7241	151.90172	196.99535	3603.4675	-1173.4436	2.3770738	3.7974823	55.228474	-12.9387245	-151.9438	507.6616	2883.345401287079
22	32.98395	60.451733	351.60645	2.875169	25.230253	24.51394	68.54901	4.6936693	200.0	200.0	219999	125.66055	190.82225	2959.6685	-1063.2715	125.65249	190.8224	2993.7979	-1033.3564	2.4542623	3.595746	49.817123	-12.501259	-125.85853	477.1795	3018.591719865799
