Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	305.46588	117.32441	690.1808	167.16199	828.7015	311.92532	1136.3289	348.73865	200.0	200.0	9999	40.300987	24.74967	169.17938	-0.0036993213	40.300903	24.751453	169.39279	0.008101289	-2.5757997	0.60639954	5.905115	-9.678671	-40.670246	1.4106504	1288.5909707546234
2	1014.5346	394.3203	1760.0804	333.5736	1078.7837	332.07568	1688.918	751.19324	200.0	200.0	19999	153.94908	100.77129	483.66452	-10.500825	153.95045	100.776184	477.25388	-7.506881	0.35938156	2.9346833	16.356916	-13.439697	-154.7008	13.138268	2717.057460784912
3	1282.6823	317.56244	1794.4813	539.18365	1359.8658	303.32086	1773.1548	653.88477	200.0	200.0	29999	347.8642	136.50096	583.5858	-30.487637	347.8691	136.50302	584.22675	-21.452948	2.92613	3.6824765	19.562809	-14.084302	-349.2816	30.94454	4387.208163976669
4	1193.4578	364.17047	1832.3682	586.2465	1325.5773	333.53152	1806.8809	1008.5267	200.0	200.0	39999	476.75793	129.75069	666.53845	-29.99373	476.75665	129.76158	666.597	-24.224644	2.203452	3.8864532	15.57174	-14.102789	-477.80466	39.98642	6545.843224287033
5	1309.8495	343.75726	1810.6877	644.4669	1134.3478	357.94687	1688.4305	587.9114	200.0	200.0	49999	542.87006	123.94984	731.4763	-28.591703	542.8704	123.95339	733.61304	-28.412931	1.6467824	3.7914176	16.118237	-11.781441	-543.69977	41.857605	8850.168788671494
6	1289.7837	374.11752	1818.8331	596.431	1288.6509	374.28857	1829.5754	663.89825	200.0	200.0	59999	590.6224	123.368004	768.9171	-30.046148	590.622	123.37732	767.2907	-28.068838	1.1536353	3.7266698	17.25987	-12.296736	-591.2069	42.071526	11080.750245332718
7	1331.0464	371.2245	1865.3612	631.5604	1331.3918	414.81137	1782.8927	776.401	200.0	200.0	69999	621.32745	121.92801	798.3603	-89.554214	621.3276	121.93501	800.22736	-88.2432	0.8105433	3.5487945	16.230818	-12.055528	-621.6663	42.441013	14104.171514511108
8	1411.478	355.47733	1836.1626	461.07642	1215.7019	220.44542	1510.8918	900.5729	200.0	200.0	79999	640.00415	119.12204	830.4667	-164.27486	640.0051	119.114525	832.54395	-168.87448	0.7616884	3.450433	15.884871	-12.864439	-640.23676	43.406475	17310.173399686813
9	1390.4556	311.26117	1843.7507	581.3483	1245.3181	321.79968	1679.0984	827.15356	200.0	200.0	89999	658.2143	118.38431	858.8374	-229.25832	658.2159	118.366776	860.5239	-230.93568	0.7961248	3.3916123	16.116987	-12.27227	-658.38275	47.584892	20491.973665714264
10	1478.0641	278.7524	1877.2192	602.4972	1414.7352	315.44846	1844.2246	974.938	200.0	200.0	99999	677.35156	119.21274	880.2128	-297.94662	677.3539	119.197876	879.1046	-300.8022	0.7438715	3.2884257	16.51064	-13.347281	-677.4858	48.21494	23352.004326105118
11	1401.2546	337.09494	1877.2062	552.1551	1318.9287	362.9872	1840.749	963.29175	200.0	200.0	109999	693.9243	121.69914	898.89404	-337.57852	693.9262	121.68685	902.9312	-337.77078	0.6785923	3.204057	14.905837	-12.007074	-694.0916	48.226467	25173.266665697098
12	1446.5387	292.03848	1841.1726	579.1458	1269.2858	483.47522	1844.3516	631.38916	200.0	200.0	119999	707.4835	122.12484	911.58527	-358.3341	707.48505	122.116066	911.78046	-360.40036	0.42272815	3.1143315	15.077349	-13.489117	-707.5414	46.950768	26395.78184914589
13	1451.1948	345.6165	1874.041	546.2656	1246.4359	302.42392	1849.284	894.74347	200.0	200.0	129999	715.223	121.54529	920.27625	-334.6622	715.2243	121.53522	919.66626	-335.57077	0.3588833	3.0909417	15.479946	-13.487093	-715.1478	47.52833	27498.356065511703
14	1412.1444	355.12918	1868.8546	504.84836	1257.2538	357.62064	1843.2694	684.19275	200.0	200.0	139999	723.45404	122.29671	928.7701	-319.4505	723.455	122.287796	931.92865	-328.1551	0.32310468	2.9778845	16.834295	-12.21932	-723.3753	47.907818	28697.99325466156
15	1427.682	375.13925	1852.3586	565.9739	1218.8094	338.51944	1841.5964	888.27826	200.0	200.0	149999	731.61554	124.44813	937.06885	-346.07556	731.6174	124.44063	937.39923	-347.455	0.3301337	2.9348428	17.621098	-12.815564	-731.4663	47.59018	29879.5488550663
16	1441.2262	284.18314	1860.6477	583.9512	1260.668	328.59628	1854.5049	839.56384	200.0	200.0	159999	736.0595	124.52567	937.7707	-367.31348	736.06055	124.51571	937.41406	-349.30185	0.09494835	2.927558	15.902569	-12.634923	-735.78174	48.38322	30632.181902885437
17	1444.4716	329.51428	1860.0735	538.3617	1200.5897	351.76797	1821.0597	650.28485	200.0	200.0	169999	737.0474	124.937675	936.5876	-327.74045	737.04944	124.925285	939.77454	-328.37418	-0.085577264	2.9034421	18.39244	-14.181933	-736.7177	47.823074	31163.726823091507
18	1525.5189	303.50217	1877.0658	542.3971	1213.5057	381.1134	1820.0608	641.76917	200.0	200.0	179999	739.5183	124.85583	940.56805	-315.61795	739.51965	124.84504	943.2166	-324.0278	-0.09014808	2.851257	16.247396	-11.536659	-739.17395	47.346756	31578.00759291649
19	1537.5956	294.95145	1860.0709	522.44824	1403.675	400.00595	1849.7352	644.6531	200.0	200.0	189999	744.7766	126.132034	950.3619	-318.78064	744.7775	126.12164	951.9574	-322.0831	-0.058776468	2.8771012	19.273872	-16.238937	-744.43036	47.276756	31847.624091148376
20	1496.846	277.6801	1877.2347	586.89514	1394.8801	321.0182	1813.2428	822.74176	200.0	200.0	199999	750.4655	127.686844	962.89307	-344.2574	750.46625	127.68106	956.93536	-318.07455	-0.11563272	2.8385508	17.820385	-15.011061	-750.0033	47.681393	32005.519625902176
21	1499.9052	278.36575	1856.3844	746.3087	1338.9879	373.53687	1808.4845	708.30536	200.0	200.0	209999	755.3756	129.40295	964.0162	-303.1698	755.3762	129.39551	959.4934	-299.5974	-0.17506671	2.8183715	18.481224	-12.137999	-755.0374	48.58665	32162.87802219391
22	1521.7653	307.48816	1854.8846	651.7493	1539.9392	226.55244	1823.9009	926.29205	200.0	200.0	219999	760.42053	129.52763	963.8953	-363.06525	760.42114	129.51932	965.38544	-371.60254	-0.17565826	2.7677488	18.887762	-13.020454	-760.0794	47.838734	32320.894192934036
23	1483.1455	322.766	1852.8787	616.5923	1526.8683	299.54163	1799.1066	991.75964	200.0	200.0	229999	764.8335	129.67966	967.0273	-542.69183	764.8335	129.6725	968.6064	-517.9894	-0.23743153	2.790737	19.635294	-13.214136	-764.4167	46.843525	32477.20878458023
24	1474.1462	338.88376	1840.709	621.5966	1432.6638	286.68658	1833.6205	799.58026	200.0	200.0	239999	767.975	129.5511	965.0151	-658.84955	767.9753	129.5434	965.8292	-648.6157	-0.39166662	2.7867227	21.822872	-12.32399	-767.531	46.407726	32632.831760168076
25	1469.8855	344.90854	1838.0062	584.7175	1384.6185	382.14487	1826.3479	651.28546	200.0	200.0	249999	768.9602	130.79793	966.1136	-893.86694	768.9604	130.7888	966.1063	-878.49915	-0.41253698	2.7559848	21.58576	-13.522884	-768.5024	46.392838	32791.28190255165
26	1542.2928	286.58505	1855.8318	736.0152	1262.3704	498.0367	1835.6359	605.86127	200.0	200.0	259999	771.7934	132.51059	970.46967	-1091.8772	771.79364	132.50198	972.0225	-1064.7578	-0.41765678	2.7367053	18.150116	-14.522568	-771.3283	47.016994	32949.05686068535
27	1471.7773	284.7234	1834.2091	754.4484	1550.8368	256.9751	1810.4744	1089.8198	200.0	200.0	269999	774.9311	134.11661	971.7942	-1343.8474	774.93225	134.10829	973.5142	-1283.6232	-0.37879738	2.742475	20.776943	-12.626783	-774.3834	48.460785	33107.08342432976
28	1382.3339	341.35202	1839.95	643.7371	1400.642	387.88626	1798.4596	750.8244	200.0	200.0	279999	775.43854	135.63792	975.7315	-1420.3873	775.4391	135.63298	976.31934	-1418.8748	-0.40272474	2.7632945	22.486515	-11.976269	-774.8959	48.923645	85740.02028536797
29	1499.6072	269.2216	1836.3844	787.3001	1297.7755	310.2903	1826.3353	822.77094	200.0	200.0	289999	776.53754	135.88478	971.9929	-1456.7306	776.5378	135.87769	971.623	-1488.3486	-0.3878475	2.7494957	23.512583	-11.441179	-776.0129	49.43046	86218.86376237869
30	1578.3265	190.41069	1840.3135	1161.8235	1546.0648	306.97263	1815.5834	786.81323	200.0	200.0	299999	777.3943	134.79744	966.5639	-1538.8121	777.39545	134.7878	977.5462	-1504.6322	-0.36795214	2.6883187	19.366552	-11.974485	-776.7991	50.34046	86696.32686781883
31	1512.1908	312.90036	1841.8967	680.0019	1337.4949	418.29755	1754.7924	752.7002	200.0	200.0	309999	778.09863	134.86319	967.43896	-1545.5482	778.1	134.85573	973.6579	-1567.0466	-0.3241066	2.7190819	20.824673	-13.5533085	-777.4591	51.13075	87174.09808540344
32	1443.6512	345.79633	1829.5366	651.4701	1483.7263	359.20615	1797.8281	865.3829	200.0	200.0	319999	778.5364	135.11284	969.99347	-1492.8483	778.53754	135.10274	968.5046	-1500.4276	-0.2593626	2.7749257	21.303545	-12.717509	-777.94165	50.303486	87669.63574457169
33	1511.2692	320.8278	1855.5887	696.96893	1277.287	349.42627	1825.3043	858.5683	200.0	200.0	329999	779.3999	135.35321	970.74786	-1321.9209	779.40063	135.34088	973.35675	-1321.2758	-0.18853651	2.7641196	19.960476	-13.555408	-778.8219	51.35497	88153.04071569443
