Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	11.306454	4.5086527	25.48924	5.4664235	24.990965	0.0	24.990965	24.990965	200.0	200.0	9999	11.686321	6.0956926	23.770245	-0.0025448538	11.686341	6.0956483	23.73921	0.008179616	-2.7333214	0.23888513	-1.0212708	-9.141411	-12.227356	0.00961904	356.72566199302673
2	11.910125	4.0118957	25.015692	5.217641	15.997866	9.536743e-07	15.997865	15.997865	200.0	200.0	19999	29.535324	4.396552	41.35575	18.593336	29.53533	4.3965316	41.355328	18.533367	-2.7331672	0.23797935	-1.9671402	-9.120422	-30.066525	0.019248672	781.7623310089111
3	13.841936	15.602089	120.33149	6.768635	45.92565	0.0	45.92565	45.92565	200.0	200.0	29999	41.17308	3.2919006	69.540215	30.823416	41.17312	3.2918012	69.55033	30.903877	-2.7303421	0.24949484	-1.8559399	-8.954102	-41.69393	0.059697315	1200.27930021286
4	21.506964	27.573801	193.75919	6.935789	13.217603	0.0	13.217603	13.217603	200.0	200.0	39999	48.305614	3.803314	295.84088	4.384262	48.30565	3.8021586	295.76343	9.795913	-2.7258096	0.26594377	3.7728105	-8.235693	-48.815838	0.13704705	1630.8131430149078
5	20.46139	16.17558	89.21374	6.796832	82.54515	7.6293945e-06	82.54514	82.54514	200.0	200.0	49999	52.879204	11.561137	471.33124	0.23410761	52.87928	11.5599	471.23618	0.24359672	-2.6978374	0.44505608	15.164507	-9.153433	-53.348194	2.1546793	2083.305023908615
6	21.34036	13.769821	83.22006	7.380185	36.709934	0.0	36.709934	36.709934	200.0	200.0	59999	54.603176	23.70209	781.6621	12.627874	54.603363	23.705633	794.8197	16.9273	-2.6319723	0.79312176	22.491117	-10.104561	-55.032417	4.4780107	2530.5665848255157
7	9.744975	6.5570273	35.84639	3.1522799	12.131933	9.536743e-07	12.131932	12.131932	200.0	200.0	69999	65.502846	61.197037	1244.5961	27.766891	65.50297	61.204777	1196.3616	28.338501	2.2501218	5.5498786	59.866142	-12.011402	-66.5599	38.44926	2983.6150584220886
8	69.40945	215.86795	1153.2588	5.2418246	234.10063	1.5258789e-05	234.10065	234.10065	200.0	200.0	79999	105.65014	101.83635	1234.8997	-36.57088	105.652115	101.84542	1243.3164	-12.394939	0.99954873	3.881051	34.97379	-13.034882	-106.73972	114.86417	3432.2327601909637
9	38.916794	56.92781	401.55515	9.764723	16.089018	0.0	16.089018	16.089018	200.0	200.0	89999	150.69687	101.42914	1115.8438	-45.67141	150.69832	101.42158	1122.3645	-27.524406	1.6466621	3.0102744	31.70467	-13.929669	-152.09062	116.9413	3860.3549263477325
10	36.401867	20.22403	117.932175	5.746837	23.832233	0.0	23.832233	23.832233	200.0	200.0	99999	146.42169	83.06936	1059.0947	-41.60579	146.41591	83.077324	1040.801	-47.12103	0.34242618	2.3957462	30.74502	-15.140343	-147.09285	72.03854	4295.6434960365295
11	29.626942	16.305788	69.22935	9.256491	13.54756	0.0	13.54756	13.54756	200.0	200.0	109999	116.76319	70.65336	912.3154	-57.90401	116.76014	70.646255	910.2268	-59.489468	-0.50265133	2.3067372	26.439892	-11.28806	-117.02892	50.510994	4688.230027914047
12	73.96316	99.93059	563.99194	14.601508	31.833363	3.8146973e-06	31.833359	31.833359	200.0	200.0	119999	98.343	58.6131	970.69904	-66.5682	98.3457	58.59971	964.01404	-70.17612	-0.49165854	2.0547137	25.771456	-12.488586	-98.66929	35.17184	5081.0827786922455
13	75.47844	80.199005	551.4156	14.440109	84.206055	0.0	84.206055	84.206055	200.0	200.0	129999	81.33084	49.840157	1224.8474	-86.65233	81.3317	49.833218	1205.7993	-89.432144	-1.3306056	1.7714977	27.559473	-15.632406	-81.47829	36.36864	5515.35550403595
14	84.900696	103.4925	443.02716	5.1851635	68.16112	7.6293945e-06	68.16111	68.16111	200.0	200.0	139999	66.944824	44.185406	1228.9747	-94.07496	66.945175	44.18345	1252.0267	-96.70709	-1.7026048	1.6409249	27.097412	-11.257684	-66.999596	35.312317	5962.970630645752
15	50.478485	66.90371	397.40414	5.9702153	63.12617	0.0	63.12617	63.12617	200.0	200.0	149999	59.057053	41.950176	1481.3523	-128.92589	59.060333	41.933434	1470.359	-126.40246	-1.699778	1.764786	36.383045	-11.701669	-59.15009	52.1694	6397.746879577637
16	50.091476	81.915955	541.7154	4.1216507	5.074641	0.0	5.074641	5.074641	200.0	200.0	159999	55.418995	51.529316	1939.5548	-143.03857	55.42319	51.525295	1921.4852	-142.30911	-1.4778091	2.046823	37.444866	-13.690941	-55.61051	86.66422	6775.12496304512
17	19.628525	15.6441765	83.04586	2.743834	7.656939	0.0	7.656939	7.656939	200.0	200.0	169999	53.353603	68.206665	2496.3196	-183.1199	53.36017	68.188194	2472.4612	-181.89893	-0.8932852	2.5318432	42.089584	-11.832542	-53.830364	133.40555	7178.659914493561
18	60.729263	201.06187	1444.8472	2.2067604	8.018606	0.0	8.018606	8.018606	200.0	200.0	179999	54.559235	80.560875	2900.8171	-230.03152	54.56562	80.53846	2896.601	-236.06223	-0.6286921	2.7533329	33.286316	-12.097389	-54.93516	140.09277	7572.744686365128
19	31.999765	50.788204	342.97888	2.518556	13.6076145	0.0	13.6076145	13.6076145	200.0	200.0	189999	51.704567	90.08914	3155.6045	-271.90945	51.701828	90.0783	3133.908	-271.2048	-0.5740703	2.979293	47.290504	-15.55542	-52.03433	173.18706	7966.0413813591
20	47.908306	103.30956	698.38184	3.1804338	10.814432	9.536743e-07	10.814433	10.814433	200.0	200.0	199999	46.478195	99.87522	3279.8325	-367.73224	46.473625	99.86239	3298.221	-364.6503	-0.539538	3.1693475	58.838757	-13.821633	-46.760246	178.30368	8385.256103754044
21	94.48431	178.18222	1129.4034	4.075332	10.77431	9.536743e-07	10.774311	10.774311	200.0	200.0	209999	53.680126	116.29855	3335.5195	-517.1753	53.685734	116.3033	3257.0598	-511.64633	0.007104354	3.367745	38.203915	-12.278873	-53.923824	212.67834	8780.372359991074
22	89.64487	174.49298	1188.6991	3.822651	10.492379	0.0	10.492379	10.492379	200.0	200.0	219999	73.98155	166.22124	3338.8757	-662.1761	73.98847	166.22124	3330.8623	-659.564	0.7346041	3.402876	34.95337	-13.9072	-74.249176	311.84705	9180.787986516953
23	117.16838	361.12	1564.1167	2.6260662	3.133022	0.0	3.133022	3.133022	200.0	200.0	229999	130.60966	242.87389	3364.347	-717.0224	130.6092	242.8905	3365.159	-714.57947	2.1029663	3.7008502	35.043034	-12.420063	-131.854	595.9023	9590.815159082413
24	173.69746	420.45102	1522.938	2.8977153	12.426078	0.0	12.426078	12.426078	200.0	200.0	239999	168.46095	258.6829	2668.219	-792.79114	168.45358	258.71368	2697.8787	-784.00836	2.3190103	3.3567395	29.42615	-13.77563	-169.72264	671.3176	10005.826153755188
25	82.14293	209.31757	1055.4269	3.5123546	20.94653	1.9073486e-06	20.946527	20.946527	200.0	200.0	249999	161.2006	240.48396	2522.7483	-859.62134	161.21172	240.48056	2490.624	-862.19354	2.317709	3.1202633	35.370018	-13.228463	-162.10934	611.9905	10405.317218542099
26	70.35762	191.15839	1296.7512	5.610252	9.985971	9.536743e-07	9.985972	9.985972	200.0	200.0	259999	133.8712	215.38675	1960.252	-927.02246	133.88255	215.38283	1856.2784	-924.34796	1.8394662	2.9837322	32.24087	-14.411812	-134.05782	439.54965	10813.38667345047
27	52.73204	174.1312	1134.6543	7.702507	19.246433	1.9073486e-06	19.246435	19.246435	200.0	200.0	269999	101.40129	195.43622	1792.8192	-934.5804	101.39314	195.45218	1773.3873	-918.18164	1.6436133	3.1857798	40.57615	-13.438258	-101.21289	338.56436	11221.254640102386
28	359.35153	525.7999	1584.4387	3.5850656	13.462346	0.0	13.462346	13.462346	200.0	200.0	279999	89.63543	196.6899	1761.1101	-921.87695	89.64048	196.69792	1828.709	-903.9455	1.8004516	3.2537284	40.586224	-11.949213	-89.35409	385.3455	11654.240242958069
29	116.10782	333.47302	1542.571	3.0899663	10.554639	9.536743e-07	10.554638	10.554638	200.0	200.0	289999	86.89939	200.94568	1628.1825	-1023.97565	86.906845	200.96487	1591.8241	-997.81396	1.7792834	3.1742382	31.659763	-14.215151	-86.70118	421.6077	12043.651253461838
30	77.387215	273.88986	1499.9167	8.9280205	15.231053	0.0	15.231053	15.231053	200.0	200.0	299999	81.862816	195.09572	1373.7747	-1075.7474	81.86705	195.10173	1412.4778	-1051.1598	1.5298245	2.9404137	32.00654	-14.568396	-81.738	375.43353	12450.666158914566
31	180.50452	360.7263	1394.1282	4.4136915	13.983572	9.536743e-07	13.983573	13.983573	200.0	200.0	309999	73.9442	183.73643	1247.0055	-1089.8602	73.93911	183.74153	1273.727	-1051.2871	1.351354	2.8488696	33.971893	-14.227527	-73.68223	347.9521	12862.259744882584
32	132.47166	292.85974	1343.4341	4.359824	271.14966	0.0	271.14966	271.14966	200.0	200.0	319999	62.89598	175.5329	1201.6426	-1097.973	62.887306	175.55194	1193.5729	-1036.4471	1.0274353	2.7501845	37.186653	-13.15645	-62.399174	315.90283	13261.769190788269
33	304.65466	430.59918	1502.9478	4.724727	15.096575	9.536743e-07	15.096574	15.096574	200.0	200.0	329999	55.32752	171.90375	1193.9644	-1089.0983	55.314377	171.91919	1181.7294	-1048.4927	0.90003735	2.76617	33.928783	-12.895235	-54.733963	286.99677	13664.24082159996
34	392.34515	554.9192	1560.0188	3.6371455	8.507752	0.0	8.507752	8.507752	200.0	200.0	339999	56.32199	180.68741	1270.659	-1069.5858	56.31692	180.70427	1243.2852	-1030.7919	1.1588436	2.9243977	43.337265	-14.624878	-55.770676	321.05026	14059.971487998962
35	516.00415	560.88525	1497.8126	4.729654	1274.2429	0.0	1274.2429	1274.2429	200.0	200.0	349999	66.80232	192.52739	1272.1049	-1101.7446	66.80158	192.531	1231.8767	-1061.5674	1.3644953	2.95733	34.050117	-13.061937	-66.28863	334.7447	14470.808076143265
36	548.75287	576.11053	1503.0828	3.1539645	4.4905386	4.7683716e-07	4.490538	4.490538	200.0	200.0	359999	71.26743	201.02606	1084.6956	-1101.7351	71.267296	201.02992	1126.3809	-1061.3568	1.3942723	2.9881008	33.542824	-13.197895	-70.633865	362.23865	14878.631085157394
37	459.2701	567.1931	1600.7894	3.3187227	16.270964	0.0	16.270964	16.270964	200.0	200.0	369999	80.26912	210.08255	1083.6027	-1118.2167	80.266106	210.09233	1089.7017	-1055.8424	1.6407448	2.9889212	30.615566	-14.855459	-79.693535	404.8622	15303.211649656296
38	573.6947	541.7366	1482.9519	5.074033	18.973133	1.9073486e-06	18.973135	18.973135	200.0	200.0	379999	90.4604	219.18768	1072.6998	-1084.554	90.46398	219.19363	1063.472	-1065.5363	1.7235062	2.9163754	29.43947	-13.319419	-89.806366	428.9911	15702.619370937347
39	621.07385	586.3276	1535.5837	5.8323274	119.58531	0.0	119.58531	119.58531	200.0	200.0	389999	98.61076	227.66504	1028.7747	-1044.5721	98.609695	227.6792	1038.6165	-1013.06573	1.8513076	2.9573565	32.56077	-14.897986	-97.97954	459.30536	16117.263605117798
40	437.2003	581.95325	1570.4058	3.1493917	1164.7883	0.0	1164.7883	1164.7883	200.0	200.0	399999	107.10338	235.81271	1041.7571	-1026.1846	107.10805	235.82541	1047.4785	-1004.9504	1.9678442	3.016117	30.458347	-14.058582	-106.4134	509.7837	16524.241868019104
41	571.07947	621.4382	1579.0494	4.1669035	18.004553	1.9073486e-06	18.004555	18.004555	200.0	200.0	409999	114.894104	245.27399	1063.5781	-997.5131	114.89415	245.29156	1058.2074	-1005.0376	2.1357245	3.0275588	29.725445	-12.90481	-114.24407	559.374	16923.269306898117
42	633.53033	585.8711	1524.3691	6.4348183	233.20158	1.5258789e-05	233.20157	233.20157	200.0	200.0	419999	123.972015	258.86255	1093.8444	-1034.4819	123.97367	258.87616	1104.7103	-1049.2167	2.3204243	3.08205	29.815952	-15.428877	-123.2149	631.39124	17325.582657575607
43	654.81744	629.79376	1597.9841	3.1622927	4.7157583	4.7683716e-07	4.715758	4.715758	200.0	200.0	429999	131.79266	274.58755	1143.0736	-1070.6857	131.79083	274.59995	1162.0352	-1097.9413	2.485312	3.1269755	32.174343	-12.430687	-130.9474	716.95544	17727.95895051956
44	629.6888	540.6324	1507.8868	5.505322	7.488768	4.7683716e-07	7.4887676	7.4887676	200.0	200.0	439999	139.15315	289.25223	1143.4792	-1122.8314	139.14763	289.26263	1147.9819	-1140.0352	2.6155968	3.1719575	33.212635	-14.862374	-138.2683	798.3564	18127.283326625824
45	581.5167	529.9116	1538.1943	3.5642784	63.59516	3.8146973e-06	63.595158	63.595158	200.0	200.0	449999	146.22177	301.28247	1113.4257	-1142.7236	146.21399	301.2945	1126.7129	-1151.3472	2.7347176	3.255118	46.742413	-15.111641	-145.28383	866.054	18525.874398946762
46	696.44696	558.2876	1548.3137	6.377027	11.972613	9.536743e-07	11.972614	11.972614	200.0	200.0	459999	147.5052	303.92957	1161.9124	-1118.4988	147.49986	303.93845	1149.1647	-1112.2185	2.7633457	3.237063	46.204765	-15.959739	-146.52942	867.5839	18936.949557065964
47	802.39	541.6883	1582.1471	4.2305045	3.3582566	2.3841858e-07	3.3582563	3.3582563	200.0	200.0	469999	148.21413	305.50208	1169.0217	-1142.3384	148.2082	305.50812	1190.703	-1133.8898	2.8153563	3.2554455	42.254093	-12.151127	-147.168	870.9904	19342.382692098618
48	783.25464	552.99884	1546.7865	6.9031014	1525.8416	0.0	1525.8416	1525.8416	200.0	200.0	479999	152.7614	310.242	1133.962	-1248.2424	152.76048	310.2498	1155.6947	-1227.9563	2.9290826	3.2609599	48.25929	-13.533356	-151.6715	878.5134	19753.611602306366
49	782.8432	582.3878	1566.9908	7.64802	15.437456	9.536743e-07	15.437455	15.437455	200.0	200.0	489999	163.66772	319.70532	1128.82	-1305.2893	163.66197	319.69107	1155.7346	-1314.862	3.147377	3.2638996	41.49138	-12.69005	-162.69499	915.9915	20156.978401184082
50	781.55023	570.2862	1546.3992	7.0134964	1229.1965	0.00012207031	1229.1967	1229.1967	200.0	200.0	499999	171.8208	327.88257	1161.7655	-1398.0337	171.81836	327.86868	1159.5747	-1463.9287	3.063849	3.271205	46.98214	-12.201901	-170.70955	949.8752	20576.441772460938
51	932.86127	561.55524	1567.5485	7.081327	12.73321	0.0	12.73321	12.73321	200.0	200.0	509999	178.11264	338.26987	1165.7264	-1450.4634	178.10396	338.25784	1156.8209	-1519.0614	3.1724184	3.2827208	47.19583	-13.328529	-177.0521	1014.3568	20987.392046928406
52	743.6697	603.5901	1547.6918	6.270457	1316.8655	0.0	1316.8655	1316.8655	200.0	200.0	519999	183.47635	344.00208	1178.054	-1692.1653	183.47194	343.9953	1187.7384	-1756.0569	3.1982782	3.2207358	46.09657	-16.337044	-182.32608	1004.3787	21407.280217647552
53	1010.89734	534.1068	1564.8595	6.4571233	1495.3782	0.00012207031	1495.3783	1495.3783	200.0	200.0	529999	185.33388	348.97186	1133.0006	-1894.6333	185.33229	348.9598	1151.2278	-1962.3333	3.1698992	3.243586	51.399464	-15.538158	-184.05547	1013.9997	21814.348140001297
